NAME,ABBREVIATION,DESCRIPTION,PARENT,DEPTH,DEPARTMENT
DPH/FASD - Budget & Financial Planning,NA,Provides a budgeting and forecasting framework for Public Health.,DPH - Finance and Administrative Services Division (FASD),3,Department of Public Health (DPH)
"DPH/FASD - Contract, Procurement and Real Estate Services",NA,"Manages contracts and increases resources for the Department
through grants acquisition.",DPH - Finance and Administrative Services Division (FASD),3,Department of Public Health (DPH)
DPH/FASD - Human Resources,NA,"Provides human resources support to Public Health staff, including payroll and recruitment services.",DPH - Finance and Administrative Services Division (FASD),3,Department of Public Health (DPH)
DPH/FASD - Revenue,NA,"Provides administrative support for the department in revenue generation, report and compliance issues.",DPH - Finance and Administrative Services Division (FASD),3,Department of Public Health (DPH)
DPH/PD - Chronic Disease/Healthy Aging,NA,"Provides planning, coordination, consultation, coalition building, demonstration programs, research, information and other support to King County agencies and individuals in order to help facilitate their working together toward chronic disease prevention",DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DPH/PD - Injury and Violence Prevention,NA,"Coordinates the King County traffic saftey coalition, the KC Drowning Prevention Coalition.  Works on safe storage of firearms.  Referalls to others working on violence and injury issues.",DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DPH/PD - Medical Examiner,NA,"The Medical Examiners Office serves the living, by investigating sudden, violent, unexpected, and suspicious deaths which occur in King County.",DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DPH/PD - Public Health Laboratory,NA,The primary objective of the Public Health - Seattle & King County Laboratory is to assist in the prevention of disease spread. This is accomplished by identifying patients and environmental samples which carry organisms that are potentially harmful to the health of the residents of King County. One of the ways to achieve this objective is for the public health laboratory to make available certain services to health care providers.,DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DPH/PD - Tobacco Prevention Program,NA,"Checks tobacco retailers and restaurants for compliance with laws, promotes anti-smoking education especially among youth, and collaborates with other agencies and groups to prevent and control tobacco use.",DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DPH/PD/ID - Communicable Disease Epidemiology & Immunization Section,NA,"Conducts surveillance for notifiable conditions, case and outbreak investigation, and disease response and prevention activities. 

Manages the child immunization program for King County healthcare providers and facilities, provides technical assistance to all King County immunization providers, conducts activities to promote disease prevention through immunization.",DPH - Prevention Division (PD),3,Department of Public Health (DPH)
"DPH/PD/ID - HIV/AIDS Program Administration, Care",NA,Community based planning activities; Contracted community services for persons with HIV/AIDS and HIV/AIDS prevention; Confidential and anonymous counseling and testing for HIV; Initial clinical evaluation for persons with HIV; Information line.,DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DPH/PD/ID - STD Clinics,NA,"To provide or assure diagnostic, treatment, education, and support service to King County residents and health care providers so that the frequencies of sexually transmitted diseases, HIV infection and their complications are reduced",DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DPH/PD/ID - Tuberculosis Control (TB),DPH PD ID TB,"To provide treatment and prevention services to persons with, and those at risk, of tuberculosis (TB) so that the incidence of TB in King County is reduced.",DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DPH/PD/WHP - Womens Health Programs (WHP),DPH PD WHP WHP,"The Breast, Cervical & Colon Health Program (BCCHP) provides free breast and cervical cancer screening for low-income women.",DPH - Prevention Division (PD),3,Department of Public Health (DPH)
DOT/AD -  Airport Operations & Compliance,NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/AD - Airport Engineering,NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/AD - Airport Finance/Budget,NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/AD - Airport Maintenance,NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/AD - Airport Noise Office/Sound Insulation Program,NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/AD - Airport Planning,NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/AD - Airport Police (Air Rescue & Fire Fighting),NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/AD - General Administration,NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/AD - Safety and Security,NA,NA,DOT - Airport Division (AD),3,Department of Transportation (DOT)
DOT/DDO - Budget and Finance,NA,NA,DOT - Deputy Directors Office (DDO),3,Department of Transportation (DOT)
DOT/DDO - Communications,NA,"The Transportation communications section coordinates and carries out the department's public affairs and community relations programs by communicating transportation issues; providing media relations, strategic communications plans, web content management and review and community outreach activities for Transit, Roads, Airport, Marine, Fleet, Executive Staff, Director's Office, the community and employees; responsibilities also include producing streaming videos and KCTV programming, photography and the coordination of public disclosure requests.",DOT - Deputy Directors Office (DDO),3,Department of Transportation (DOT)
DOT/DDO - Government Relations and Partnerships (GRAP),DOT DDO GRAP,"Corridors, Subareas, and Grants",DOT - Deputy Directors Office (DDO),3,Department of Transportation (DOT)
DOT/DDO - Government Relations and Partnerships (GRAP) Grants Management,DOT DDO GRAP,NA,DOT - Deputy Directors Office (DDO),3,Department of Transportation (DOT)
DOT/Fleet - Budget and Finance,NA,Fleet - Finance & Budget,DOT - Fleet Administration Division (Fleet),3,Department of Transportation (DOT)
DOT/Fleet - Construction Equipment Acquisition & Maintenance,NA,Renton Vehicle Maintenance Facility,DOT - Fleet Administration Division (Fleet),3,Department of Transportation (DOT)
DOT/Fleet - Equipment & Construction Materials Supply,NA,Fleet Renton ER&R Materials and Supply Stores,DOT - Fleet Administration Division (Fleet),3,Department of Transportation (DOT)
DOT/Fleet - Information Systems,NA,Fleet-Information Systems,DOT - Fleet Administration Division (Fleet),3,Department of Transportation (DOT)
DOT/Fleet - Motor Pool Vehicle Acquisition & Maintenance,NA,"Fleet Motor Pool Vehicle Maintenance Facility, Trip Tickets",DOT - Fleet Administration Division (Fleet),3,Department of Transportation (DOT)
DOT/Fleet - Personal Property Management,NA,"Surplus Inventory, Personal Property Surplus, Auction, Sales, Spot Bids",DOT - Fleet Administration Division (Fleet),3,Department of Transportation (DOT)
DOT/MD - Engine Crew,NA,"The engine crew consists of the engineers and oilers who maintain the vessels that operate the West Seattle/Downtown Seattle route and the Vashon Island Downtown Seattle route (The Sally Fox, The Doc Maynard and The Spirit of Kingston).",DOT - Marine Division (MD),3,Department of Transportation (DOT)
DOT/MD - Vessel Crew,NA,"The crew of the Doc Maynard (West Seattle/Downtown Seattle) and the Sally Fox (Vashon Island/Downtown Seattle), consist of the captains and deckhands who crew the vessels.",DOT - Marine Division (MD),3,Department of Transportation (DOT)
"DOT/Transit - Assistant General Manager, Planning & Customer Services",NA,Deputy General Manager info.,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Customer Communications and Services,NA,"Transit Sales and Customer Services provides transit information and customer services, such as selling bus passes and other fare media and providing trip planning information, to individuals and businesses; develops and implements promotional programs an",DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
"DOT/Transit - Deputy General Manager (DGM), Employee & Internal Services",DOT DGM,Deputy General Manager info.,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Light Rail Section,NA,NA,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Paratransit/Rideshare Operations (PRO),DOT PRO,Our core business is to administer both the Accessible Services unit and the Rideshare Operations unit.,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Power & Facilities (PF),DOT PF,"Power & Facilities group manages the power poles, wires, lighting & lines for Transit trolleys, bus tunnels, Park & Ride lots, transfer bases, and miscellaneous other facilities.  This also includes building maintenance such as custodial clean-up.",DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Security,NA,NA,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Service Development (SD),DOT SD,NA,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Systems Development & Operations (SDO),DOT SDO,Systems Development & Operations staff manage large technology projects and provide system administration and support after implementation.,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Transit Operations (TO),DOT TO,ManagesTransit operations.,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit - Vehicle Maintenance Section (VM),DOT VM,"Transit bus, coach, trolley, and revenue vehicle maintenance",DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit – Strategy & Performance,NA,NA,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
DOT/Transit/GM Budget & Finance,NA,NA,DOT/Transit - General Manager (GM),3,Department of Transportation (DOT)
"KCDC - East Division, Mercer Island Courthouse  (a department of Bellevue Court)",NA,DISTRICT COURT,"KCDC - East Division, Bellevue Courthouse",3,King County District Court (KCDC)
KCDC/PSD - Auburn Probation Office,NA,NA,KCDC - Probation Services Division (PSD),3,King County District Court (KCDC)
KCDC/PSD - DV Court Unit,NA,"Probation Services, DV Court Unit",KCDC - Probation Services Division (PSD),3,King County District Court (KCDC)
KCDC/PSD - Issaquah Probation Office,NA,NA,KCDC - Probation Services Division (PSD),3,King County District Court (KCDC)
KCDC/PSD - MRJC Office Probation Office,NA,NA,KCDC - Probation Services Division (PSD),3,King County District Court (KCDC)
KCDC/PSD - RJC Superior Court Probation Unit,NA,"Probation Services, Superior Court Unit, RJC",KCDC - Probation Services Division (PSD),3,King County District Court (KCDC)
KCDC/PSD - Seattle Probation Office,NA,NA,KCDC - Probation Services Division (PSD),3,King County District Court (KCDC)
KCDC/PSD - Shoreline Probation Office,NA,NA,KCDC - Probation Services Division (PSD),3,King County District Court (KCDC)
"KCDC - South Division, Vashon Island Courthouse",NA,"Vashon Court is a department of the South Division, Burien Courthouse of King County District Court","KCDC - South Division, Burien Courthouse",3,King County District Court (KCDC)
KCEO/PS - Administration,NA,Provides internal administrative support for the Executives office; coordinates responses to Public Disclosure Requests.,KCEO - Policy & Strategy (PS),3,King County Executive Office (KCEO)
KCEO/PS - Customer Service,NA,Coordinates customer service and community outreach programs for the Executives office.,KCEO - Policy & Strategy (PS),3,King County Executive Office (KCEO)
KCEO/PS - Intergovernmental Relations,NA,"Provides liaison between the King County Executives office and local, state, and federal agencies.",KCEO - Policy & Strategy (PS),3,King County Executive Office (KCEO)
KCEO/PS - Media & Communications,NA,Issues Executive press releases; oversees Executives home page web content; handles constituent correspondence and media relations.,KCEO - Policy & Strategy (PS),3,King County Executive Office (KCEO)
PAO/CR - Appellate Unit,NA,NA,PAO - Criminal Division (CR),3,King County Prosecuting Attorney Office (PAO)
PAO/CR - District Court Unit,NA,NA,PAO - Criminal Division (CR),3,King County Prosecuting Attorney Office (PAO)
PAO/CR - Juvenile Section,NA,NA,PAO - Criminal Division (CR),3,King County Prosecuting Attorney Office (PAO)
PAO/CR - Regional Justice Center,NA,NA,PAO - Criminal Division (CR),3,King County Prosecuting Attorney Office (PAO)
PAO/CR - Victim Assistance Unit (VAU),PAO CR VAU,NA,PAO - Criminal Division (CR),3,King County Prosecuting Attorney Office (PAO)
PAO/CR- Adult Criminal Records,NA,NA,PAO - Criminal Division (CR),3,King County Prosecuting Attorney Office (PAO)
PAO/FSD - Kent Family Support,NA,NA,PAO - Family Support Division (FSD),3,King County Prosecuting Attorney Office (PAO)
SHERIFF/CID - Child Find Unit,NA,"The King County Child Find Unit specializes in custodial interference and parental kidnapping incidents, working closely with the Prosecutors Office to investigate these matters.",SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Child Support,NA,NA,SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Criminal Warrants Unit,NA,"The Criminal Warrants Unit handles criminal and material witness warrants issued out of King County courts, performs extraditions, and transports prisoners between jurisdictions.",SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Fire Investigation Unit (FIU),SHERIFF CID FIU,Conducts comprehensive fire investigations to determine the origin and cause of fires and the criminal investigation of those fires determined to be arson.,SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Forensics Unit,NA,"The Fraud/Computer Forensics Unit investigates both white collar and organized crimes, including embezzlement, organized fraud rings, and bad check cases.",SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Major Accident Response & Resconstruction Unit,NA,The MARR Unit investigates fatality and serious injury accidents and also provides assistance at major crime scenes.,SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Major Crimes Unit,NA,NA,SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Missing Persons/Runaway Unit,NA,NA,SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Special Assault Unit,NA,The Special Assault Unit investigates sexual assaults and neglect or abuse cases. It also monitors sex offenders and investigates serious crimes against juveniles.,SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Special Support Enforcement Unit,NA,NA,SHERIFF - Criminal Investigation Division (CID),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Marine Police Unit,NA,"The King County Sheriff Marine/Dive/Rescue Unit is responsible for law enforcement on all lakes, rivers and other waters within the unincorporated areas of the county as well as in several cities that contract for our marine service, including regular pat",SHERIFF - King County Airport Police (ARFF),3,King County Sheriffs Office (SHERIFF)
SHERIFF/CID - Search & Rescue Unit,NA,"The King County Sheriff’s Office is responsible for search and rescue activities in King County under the mandates of R.C.W.38.52. 

Each year, volunteer groups along with Sheriff’s Office Search & Rescue personnel respond to numerous incidents involving",SHERIFF - King County Airport Police (ARFF),3,King County Sheriffs Office (SHERIFF)
SHERIFF/POD - Precinct 3 - SE,NA,"Precinct Three covers a geographical area of approximately 700 square miles. Interstate 90 is the northern boundary for the precinct, and the cities of Renton, Kent, and Auburn border the western side of the precinct. The eastern boundary extends into the",SHERIFF - Patrol Operations Division (POD),3,King County Sheriffs Office (SHERIFF)
SHERIFF/POD - Precinct Two,NA,"KCSO Precinct Two (North Precinct) covers a geographical area of approximately 747 square miles. The precinct is responsible for law enforcement in all unincorporated areas and five contract cities north of Interstate 90 to Snohomish County, west to the c",SHERIFF - Patrol Operations Division (POD),3,King County Sheriffs Office (SHERIFF)
SHERIFF/POD - Shoreline Police,NA,The City of Shoreline has contracted with the Sheriffs Office since 1995 for a full-service police department.  Shoreline also contracts for services from the KCSOs Criminal Investigation Division and Special Operations Division.  Shoreline has over 40 of,SHERIFF - Patrol Operations Division (POD),3,King County Sheriffs Office (SHERIFF)
SHERIFF/POD - West Precinct,NA,"Precinct Four is the smallest precinct geographically, but the most populated. The precinct boundaries include six unincorporated districts including Vashon Island and the contract cities of Burien and SeaTac. The northern boundary is the city of Seattle,",SHERIFF - Patrol Operations Division (POD),3,King County Sheriffs Office (SHERIFF)
SHERIFF/TechSvcs - Accounting/Purchasing,NA,NA,SHERIFF - Technical Services Division (Tech Svcs),3,King County Sheriffs Office (SHERIFF)
SHERIFF/TechSvcs - AFIS Section,NA,"King County has one of the finest and most efficient fingerprint identification systems in the country. 

The Regional Automated Fingerprint Identification System, or “AFIS”, is a valuable regional service that is administered by the King County Sheriff’s",SHERIFF - Technical Services Division (Tech Svcs),3,King County Sheriffs Office (SHERIFF)
SHERIFF/TechSvcs - Communications Center,NA,"When a citizen has an emergency anywhere in King County, the call is routed to the appropriate 9-1-1 center. If the system is not programmed for the correct center, the call is routed to the King County Communications Center where we determine which agenc",SHERIFF - Technical Services Division (Tech Svcs),3,King County Sheriffs Office (SHERIFF)
SHERIFF/TechSvcs - Contracting Unit,NA,"Communities have unique law enforcement needs, but they also have tight budgets. The King County Sheriff''s Office contracts program provides a way for cities, tribes, transit systems and others to have local control and identity for their police, and to s",SHERIFF - Technical Services Division (Tech Svcs),3,King County Sheriffs Office (SHERIFF)
SHERIFF/TechSvcs - Police Recruiter,NA,"The King County Sheriffs Office is a progressive and community oriented law enforcement agency, actively recruiting qualified applicants throughout the year. We strive to recruit qualified deputy candidates who represent the diversity of the communities w",SHERIFF - Technical Services Division (Tech Svcs),3,King County Sheriffs Office (SHERIFF)
KCSC/FCO - Dependency CASA Program,NA,"Dependency CASA (Court Appointed Special Advocate) Program - Recruits, trains, and supervises lay volunteers who are appointed by the court to advocate for children involved in contested custody (Dissolution, Modification, and Third Party Petitions for Cu",KCSC - Family Court Operations (FCO),3,King County Superior Court (KCSC)
KCSC/FCO - Dependency Coordinators,NA,NA,KCSC - Family Court Operations (FCO),3,King County Superior Court (KCSC)
KCSC/FCO - Family Court Services,NA,"The Family Court Services Department provides clinical services and programs to assist families and the Court in resolving conflicts and assuring that the best interests of children are represented. Also provides mediation, parenting plan evaluations, dom",KCSC - Family Court Operations (FCO),3,King County Superior Court (KCSC)
KCSC/FCO - Family Law,NA,Works with family law.,KCSC - Family Court Operations (FCO),3,King County Superior Court (KCSC)
KCSC/FCO - Family Law Facilitators / Early Resolution Case Manager,NA,NA,KCSC - Family Court Operations (FCO),3,King County Superior Court (KCSC)
KCSC/JCS - Juvenile Court Services - Screening/ Intake/ Community & Restorative Programs/ Court Ops/ JJAT,NA,"Juvenile Court Services encompasses Screening, Intake, Community Programs, Restorative Programs, Court Operations, the Juvenile Justice Assessment Team, and the Administrative Support Unit.",KCSC - Juvenile Court Services - JCS,3,King County Superior Court (KCSC)
KCSC/JCS - Juvenile Court Services - Supervision/ Drug Court,NA,"Juvenile Probation Counselors work with youth & their families referred to juvenile court, making recommendations to court regarding sentencing and, after sentencing, aids the youth in complying with the court order.",KCSC - Juvenile Court Services - JCS,3,King County Superior Court (KCSC)
KCSC/SCA - Finance & Administrative Services,NA,"Provides financial services including budget, payroll, accounts payable, purchasing, contract development and other fiscal matters that affect the court.  The department also oversees facilities maintenance and mail delivery.",KCSC - Superior Court Administration (SCA),3,King County Superior Court (KCSC)
KCSC/SCA - Human Resources,NA,"Provides leadership in achieving and supporting an excellent workforce for Superior Court through effective recruiting and selection processes.  Provides advice and consultation on personnel policies, employment law, employee and labor relations.",KCSC - Superior Court Administration (SCA),3,King County Superior Court (KCSC)
KCSC/SCA - Information Services,NA,"Provides computer desktop, network and application support for all Superior Court Judicial and Operations staff.",KCSC - Superior Court Administration (SCA),3,King County Superior Court (KCSC)
KCSC/SCJ - Superior Court Bailiffs,NA,"A courtroom Clerk or attendant, whose duties include keeping order in the courtroom and maintaining custody of the jury.",KCSC - Superior Court Judges (SCJ),3,King County Superior Court (KCSC)
KCSC/SCJ - Superior Court Commissioners,NA,"To serve the public by ensuring justice through accessible and effective forums for the fair, just, understandable, and timely resolution of legal matters.",KCSC - Superior Court Judges (SCJ),3,King County Superior Court (KCSC)
KCSC/SCO - Arbitration,NA,"The Manadatory Arbitration Program provides an equitable, less expensive and faster means of resolving civil disputes while reducing court congestion, case processing costs, and litigants expenses.",KCSC - Superior Court Operations (SCO),3,King County Superior Court (KCSC)
KCSC/SCO - Court Reporters,NA,A Court Reporter attends court proceedings and produces verbatim notes of the proceedings.  They can provide an official transript of the proceedings.,KCSC - Superior Court Operations (SCO),3,King County Superior Court (KCSC)
KCSC/SCO - Criminal,NA,"Presides over Superior Court pre-trial criminal matters including arraignments, bond hearings, case scheduling and guilty pleas.  Assigns criminal trials and sentencings to criminal trial courts.",KCSC - Superior Court Operations (SCO),3,King County Superior Court (KCSC)
KCSC/SCO - Ex Parte,NA,Ex parte - Probate - Guardianship,KCSC - Superior Court Operations (SCO),3,King County Superior Court (KCSC)
KCSC/SCO - Jury,NA,"Provides jurors for jury trials.  The department handles the whole jury process, from summoning to payroll.",KCSC - Superior Court Operations (SCO),3,King County Superior Court (KCSC)
KCSC/SCO - Office of Interpreter Services,NA,"Provides interpreters for all foreign spoken languages and American Sign language for hearings, trials and court-related programs in criminal, civil and family law matters.",KCSC - Superior Court Operations (SCO),3,King County Superior Court (KCSC)
DCHS/CSD/FAS - Administrative Services Unit,NA,NA,DCHS/CSD - Finance & Administrative Services (FAS),4,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/FAS - Finance Services Unit,NA,NA,DCHS/CSD - Finance & Administrative Services (FAS),4,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/King County Veterans Program,NA,"The King County Veterans Program provides a range of services to veterans and their families, including financial assistance, employment, shelter and housing, counseling and other supportive services.",DCHS/CSD/Veterans and Community Services (VCS),4,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/VCS - Community Services,NA,NA,DCHS/CSD/Veterans and Community Services (VCS),4,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/VCS - Levy,NA,NA,DCHS/CSD/Veterans and Community Services (VCS),4,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/VCS - Older Adult Services,NA,NA,DCHS/CSD/Veterans and Community Services (VCS),4,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/VCS - Womens Program,NA,NA,DCHS/CSD/Veterans and Community Services (VCS),4,Department of Community and Human Services (DCHS) Director's Office
Graphic Design,NA,"King County Graphic Design and Production Services provides professional, cost-effective in-house design, photographic, print and copy services which are available to all county agencies. 
Our staff of 19 full-time employees have diverse experience in all",DES/FMD - Printshop,4,Department of Executive Services (DES)
DES/FMD/BS - Stores/Inventory,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS - Work Order Desk,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS - Youth Services,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/CT - Day Custodial,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/CT - Electric Shop,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/CT - HVAC Engineer,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/CT - Painters,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/CT - Plumbers,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/DET  - Youth Services Center,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/DET - HVAC Engineer,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/OUT -  HVAC Engineer,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/OUT - Carpenter Shop,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/OUT - Custodial,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/OUT - Electrical Shop,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/OUT - Plumbing Shop,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/SYN - Day Custodial,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BS/SYN - Hazmat,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BSS Custodial - Downtown Day,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BSS North Region Carpenter Shop,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BSS Planning Unit,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BSS Security Unit,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FMD/BSS South Region Carpenter Shop,NA,NA,DES/FMD/BSS - Building Services Section,4,Department of Executive Services (DES)
DES/FBO/FMS - Accounts Receivable (AR),DES FBO FMS AR,NA,DES/FBO - Financial Management Section (FMS),4,Department of Executive Services (DES)
DES/FBO/FMS - Financial Accounting (FA),DES FBO FMS FA,NA,DES/FBO - Financial Management Section (FMS),4,Department of Executive Services (DES)
DES/FBO/FMS - Financial Systems & Services (FSS),DES FBO FMS FSS,NA,DES/FBO - Financial Management Section (FMS),4,Department of Executive Services (DES)
DES/FBO/P&P - Accounts Payable (AP),DES FBO AP,NA,DES/FBO - Procurement & Payables Section (P&P),4,Department of Executive Services (DES)
DES/FBO/P&P - Chief Procurement Officer (CPO),DES FBO CPO,NA,DES/FBO - Procurement & Payables Section (P&P),4,Department of Executive Services (DES)
DES/FBO/P&P - Construction/A&E/PCO (CAP),DES FBO PCO CAP,"Provides information, resources, and assistance in carrying out the procurement process to secure construction, professional consulting services.   The PCO function was established by Executive Policy and Procedure CON 7-10-01. The PCO works with all construction projects over 10 million dollars and consultant (Professional and A&E) contracts over 2 million dollars.",DES/FBO - Procurement & Payables Section (P&P),4,Department of Executive Services (DES)
DES/FBO/P&P - Goods and Services (GAS),DES FBO GAS,NA,DES/FBO - Procurement & Payables Section (P&P),4,Department of Executive Services (DES)
DES/FBO/P&P - Strategic Partnerships & Analytics (SPA),DES FBO SPA,NA,DES/FBO - Procurement & Payables Section (P&P),4,Department of Executive Services (DES)
DES/FBO/TO - Banking Services,NA,NA,DES/FBO - Treasury Operations Section (TO),4,Department of Executive Services (DES)
DES/FBO/TO - Investments and Debt Management,NA,NA,DES/FBO - Treasury Operations Section (TO),4,Department of Executive Services (DES)
DES/FBO/TO - Property Tax Section,NA,"Billing and collection of Real Estate Property Taxes, Personal Property Taxes, and Property Tax Foreclosures.",DES/FBO - Treasury Operations Section (TO),4,Department of Executive Services (DES)
DES/FBO/TO - Revenue Collections,NA,Processing Real Estate Tax Payments and Billing,DES/FBO - Treasury Operations Section (TO),4,Department of Executive Services (DES)
DES/FBO/BPROS - Payroll Operations,NA,NA,"DES/FBO/BPROS - Benefits, Payroll and Retirement Operations Section (BPROS)",4,Department of Executive Services (DES)
DES/FBO/BROS - Deferred Compensation Board,NA,NA,"DES/FBO/BPROS - Benefits, Payroll and Retirement Operations Section (BPROS)",4,Department of Executive Services (DES)
DES/HRD - Disability Services,NA,"This group of the Safety and Claims Management Division works with job reassignment, disability services and job accomodation.",DES/HRD - Safety & Claims Management,4,Department of Executive Services (DES)
DES/HRD - Employee Assistance Program,NA,"Counseling regarding work issues, referral to other sources of counseling, advice for supervisors regarding employee problems",DES/HRD - Safety & Claims Management,4,Department of Executive Services (DES)
DES/HRD - Safety & Health,NA,"This group in the Safety and Claims Management Division performs safety and health related tasks, such as indoor air quality surveys, ergonomic evaluations, safety meetings and various other activities related to employee safety and health.",DES/HRD - Safety & Claims Management,4,Department of Executive Services (DES)
DES/HRD - Workers Compensation,NA,"This group in the Safety and Claims Management Division performs safety and health related tasks, such as indoor air quality surveys, ergonomic evaluations, safety meetings and various other activities related to employee safety and health.",DES/HRD - Safety & Claims Management,4,Department of Executive Services (DES)
DES/HRD/OS - Safety & Health,NA,NA,DES/HRD - Systems & Analytics,4,Department of Executive Services (DES)
DES/RALS/ARMMS - Archives,NA,Our core business is the preservation and maintenance of King County historical records and documents.,"DES/RALS - Archives, Records Management, & Mail Services (ARMMS)",4,Department of Executive Services (DES)
DES/RALS/ARMMS - Mail Service,NA,Sorts and delivers inter-office mail.  Sorts and meters U.S. mail for various County departments/divisions.  Manages mail stop system.,"DES/RALS - Archives, Records Management, & Mail Services (ARMMS)",4,Department of Executive Services (DES)
DES/RALS/ARMMS - Records Center,NA,"The Records Center is responsible for the inactive storage of all King County Records.  The Records Center provides storage, retrieval, and destruction services for all County agencies including all elected officials.","DES/RALS - Archives, Records Management, & Mail Services (ARMMS)",4,Department of Executive Services (DES)
