DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
Moran Prairie Library Capital Facilities Area (2003),NA,Library,active,Spokane,Spokane,NA,NA,NA
Morton School District No. 214,214,School,active,Lewis,Lewis,Morton,NA,NA
Moses Lake Conservation District,NA,Conservation,active,Grant,Grant,NA,NA,NA
Moses Lake Irrigation and Rehabilitation District No. 2,2,Irrigation,active,Grant,Grant,NA,NA,NA
Moses Lake School District No. 161,161,School,active,Grant,Grant,Moses Lake,NA,NA
Mossyrock School District No. 206,206,School,active,Lewis,Lewis,Mossyrock,NA,NA
Mount Adams Park and Recreation District,NA,Parks,active,Klickitat,Klickitat,NA,Klickitat County Park and Recreation District No.2 (11/2010),NA
Mount Adams School District No. 209,209,School,active,Yakima,Yakima,Harrah,NA,NA
Mount Baker School District No. 507,507,School,active,Whatcom,Whatcom,NA,NA,NA
Mount Pleasant School District No. 29-93,29,School,active,Skamania,Skamania,NA,NA,NA
Mount Vernon School District No. 320,320,School,active,Skagit,Skagit,Part Mount Vernon,NA,NA
Mountlake Terrace Transportation Benefit District (2011),NA,Transportation,active,Snohomish,Snohomish,Mountlake Terrace,NA,NA
Mud Creek Irrigation District No. 7,7,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Mukilteo School District No. 6,6,School,active,Snohomish,Snohomish,"Part Everett, part Mill Creek, Mukilteo",NA,NA
Mukilteo Water District (1920),NA,Water,active,Snohomish,Snohomish,NA,NA,Serves Mukilteo
Naches-Selah Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Naches Park & Recreation District #1,NA,Parks,active,Yakima,Yakima,Naches,NA,Applewood Park and Pool
Naches Union Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Naches Valley School District No. Jt3,NA,School,active,Yakima,Yakima,"Naches, part Yakima",NA,NA
Napavine School District No. 14,14,School,active,Lewis,Lewis,Part Napavine,NA,NA
Naselle-Grays River Valley School District No. 155,155,School,active,Pacific,Pacific,NA,NA,NA
Nespelem School District No. 14,14,School,active,Okanogan,Okanogan,Nespelem,NA,NA
Newman Lake Flood Control District,NA,Flood Control,active,Spokane,Spokane,NA,NA,NA
Newport Consolidated Joint School District No. 56-415,56,School,active,Pend Oreille,Pend Oreille,Newport,NA,NA
Nine Mile Falls School District No. 325/179,325,School,active,Spokane,Spokane,NA,NA,NA
Nooksack Valley School District No. 506,506,School,active,Whatcom,Whatcom,"Everson, Nooksack, Sumas",NA,NA
Normandy Park Metropolitan Park District (2009),NA,Parks,active,King,King,Normandy Park,NA,NA
North Banks Lake Mosquito District  No. 2,2,Mosquito Control,active,Grant,Grant,"Coulee Dam, Grand Coulee, Electric City",NA,NA
North Beach School District No. 64,64,School,active,Grays Harbor,Grays Harbor,Ocean Shores,NA,NA
North Beach Water District (2008),NA,Water,active,Pacific,Pacific,NA,NA,Originally created as the North Beach Public Development Authority in 2004
North Bend Transportation Benefit District (2011),NA,Transportation,active,King,King,North Bend,NA,NA
North Central Regional Library,NA,Library,active,Douglas,"Douglas, Chelan, Ferry, Grant,  Okanogan",NA,NA,NA
North Central Regional Library (Intercounty Rural Library District),NA,Library,active,Chelan,Chelan,"Cashmere, Chelan, Entiat, Leavenworth, Wenatchee, Bridgeport, East Wenatchee, Waterville, Coulee Dam, Republic, 
Electric City,  George, Grand Coulee, Mattawa, Quincy, Royal City, Soap Lake",NA,NA
"North Central Regional Library (Intercounty Rural Library District) Chelan, Douglas, Okanogan, Grant and Ferry counties",NA,Library,active,Okanogan,"Chelan, Douglas, Okanogan, Grant, Ferry","Brewster, Coulee Dam, Elmer City, Pateros, Winthrop, Twisp, Tonasket, Okanogan, Oroville, Riverside",NA,NA
North Country Emergency Medical Services District,1,Emergency Medical Services,active,Clark,Clark,NA,Clark County Emergency Medical Service District No. 1 (Joint with Cowlitz County),NA
North County Regional Fire Authority (Formerly Fire District  14 and 180,NA,Fire Protection,active,Snohomish,Snohomish,NA,NA,NA
North Dalles Irrigation District,NA,Irrigation,active,Klickitat,Klickitat,NA,NA,NA
North Franklin School District No. J51-162,NA,School,active,Franklin,Franklin,"Connell, Mesa",NA,NA
North Highline Fire District,11,Fire Protection,active,King,King,NA,Formerly King County Fire District No. 11,NA
North Kitsap Fire and Rescue,10,Fire Protection,active,Kitsap,Kitsap,NA,Kitsap County Fire District No. 10,NA
North Kitsap Hospital District 2,NA,Hospital,dissolved,Kitsap,Kitsap,NA,NA,NA
North Kitsap Park and Recreation Service Area,NA,Parks,active,Kitsap,Kitsap,Poulsbo,Status Unknown,Created by Interlocal cooperation agreement dated 03/01/1993 between Kitsap County and Poulsbo pursuant to County Resolution 276-1992 and Poulsbo Resolution No. 92-06.
North Kitsap School District No. 400,400,School,active,Kitsap,Kitsap,Poulsbo,NA,NA
North Lynden Watershed Improvement District (2007),NA,Water,active,Whatcom,Whatcom,NA,NA,"Whatcom County Resolution No. 2007-054 orders an election November 30, 2007 for the formation of an irrigation district to be known as North Lynden Watershed Improvement District"
North Mason School District No. 403,403,School,active,Mason,Mason,NA,NA,NA
North Olympic Library System (Clallam County Rural Library District),NA,Library,active,Clallam,Clallam,"Forks, Port Angeles, Sequim",NA,NA
North Pacific County Emergency Medical Services District No. 1 (2001),1,Emergency Medical Services,active,Pacific,Pacific,Raymond and  South Bend  included at formation,NA,"Pacific County Ordinance No. 152, passed 06/2001"
North Perry Avenue Water District No. 13 (1942),13,Water,active,Kitsap,Kitsap,NA,NA,NA
North River School District No. 200,200,School,active,Pacific,Pacific,NA,NA,NA
North Spokane Irrigation District No. 8,8,Irrigation,active,Spokane,Spokane,NA,NA,NA
North Thurston Public Schools,NA,School,active,Thurston,Thurston,"Lacey, part Olympia",NA,NA
North Whidbey Fire and Rescue (Formerly Island County Fire Protection District No 2),2,Fire Protection,active,Island,Island,NA,NA,"Name changed in Resolution No. 299 on 06/14/2005, from Fire District No. 2 to North Whidbey Fire and Rescue"
North Whidbey Park and Recreation District,NA,Parks,active,Island,Island,Oak Harbor,NA,"
John Vanderzicht Memorial Pool 
"
North Whidbey Water District,NA,Water,active,Island,Island,NA,NA,NA
North Yakima Conservation District,NA,Conservation,active,Yakima,Yakima,NA,NA,NA
Northeast Sammamish Sewer and Water District,NA,Water/Sewer,active,King,King,NA,NA,Serves Sammamish
Northeast Tri-County Health District,NA,Health,active,Pend Oreille,"Pend Oreille, Ferry, Stevens",NA,NA,NA
Northeast Tri County Health District,NA,Health,active,Stevens,"Stevens, Ferry, Pend Oreille",NA,NA,NA
Northport School District No. 211,211,School,active,Stevens,Stevens,Northport,NA,NA
Northshore Park and Recreation Service Area,NA,Parks,active,King,"King, Snohomish","Woodinville, part Kenmore, part Bothell",NA,NA
Northshore Park and Recreation Service Area (1988),NA,Parks,active,Snohomish,"Snohomish, King","Part Bothell, Part Brier",NA,NA
Northshore School District No. 417,417,School,active,King,King,"Part Bothell, part Kenmore, part Lake Forest Park, part Woodinville",NA,NA
Northshore Utility District (1947),NA,Public Utility,active,King,King,NA,NA,"Formed in 1947 as King County Water District Number 79. In 1979, Northeast Lake Washington Sewer District merged with King County Water District Number 79 and the combined districts were known as Northeast Lake Washington Sewer and Water District. The name changed to North Shore Utility District in 1992. Service area includes Bothell, Lake Forest Park, Kenmore, Kirkland, Woodinville"
Northwest Clean Air Agency,NA,Clear Air,active,Skagit,Skagit,NA,NA,NA
Northwest Park and Recreation District No. 2,2,Parks,active,Whatcom,Whatcom,Blaine,NA,NA
Oak Harbor School District No. 201,201,School,active,Island,Island,Oak Harbor,NA,NA
Oakbrook 7th Addition Park and Recreation District,NA,Parks,active,Pierce,Pierce,Part Lakewood,Became part of Lakewood,NA
Oakesdale School District No. 324,324,School,active,Whitman,Whitman,"Farmington, Oakesdale",NA,NA
Oakville School District No. 400,400,School,active,Grays Harbor,Grays Harbor,Oakville,NA,NA
Ocean Beach School District No. 101,101,School,active,Pacific,Pacific,"Ilwaco, Long Beach",NA,NA
Ocosta School District No. 172,172,School,active,Grays Harbor,Grays Harbor,Westport,NA,NA
Odessa School District No. 105,105,School,active,Lincoln,Lincoln,Odessa,NA,NA
Okanogan-Douglas County Hospital District No. 1,1,Hospital,active,Okanogan,"Okanogan, Douglas","Brewster, Pateros, Twisp, Winthrop, Bridgeport, Mansfield",Okanogan-Douglas Hospital,NA
Okanogan Conservation District,NA,Conservation,active,Okanogan,Okanogan,NA,NA,NA
Okanogan County Cemetery District No. 1,1,Cemetery,active,Okanogan,Okanogan,Winthrop,NA,NA
Okanogan County Cemetery District No. 2,2,Cemetery,active,Okanogan,Okanogan,Twisp,NA,NA
Okanogan County Cemetery District No. 3,3,Cemetery,active,Okanogan,Okanogan,Pateros,NA,NA
Okanogan County Cemetery District No. 4,4,Cemetery,active,Okanogan,Okanogan,Oroville,NA,NA
Okanogan County Fire Protection District No. 1,1,Fire Protection,active,Okanogan,Okanogan,NA,Oroville,NA
Okanogan County Fire Protection District No. 10,10,Fire Protection,active,Okanogan,Okanogan,NA,Loomis,NA
Okanogan County Fire Protection District No. 11,11,Fire Protection,active,Okanogan,Okanogan,NA,Molson/Chesaw,NA
Okanogan County Fire Protection District No. 12,12,Fire Protection,active,Okanogan,Okanogan,NA,NA,NA
Okanogan County Fire Protection District No. 2,2,Fire Protection,active,Okanogan,Okanogan,NA,Elmer City,Provides services to Elmer City
Okanogan County Fire Protection District No. 3,3,Fire Protection,active,Okanogan,Okanogan,NA,NA,Joint operation with Omak
Okanogan County Fire Protection District No. 4,4,Fire Protection,active,Okanogan,Okanogan,NA,Tonasket,Provides services to Tonasket
Okanogan County Fire Protection District No. 5,5,Fire Protection,merged,Okanogan,Okanogan,NA,NA,"Merged with Douglas County Fire District No. 6 and No. 7. Now called Douglas-Okanogan County District No. 15, election 11/2004"
Okanogan County Fire Protection District No. 6,6,Fire Protection,active,Okanogan,Okanogan,NA,"Carlton, Twisp, Winthrop/Mazama",Provides services to Winthrop
Okanogan County Fire Protection District No. 7,7,Fire Protection,active,Okanogan,Okanogan,Riverside,Riverside,NA
Okanogan County Fire Protection District No. 8,8,Fire Protection,active,Okanogan,Okanogan,NA,Okanogan,NA
Okanogan County Fire Protection District No. 9,9,Fire Protection,active,Okanogan,Okanogan,NA,Rural Conconully,Services provided by Conconully
Okanogan County Public Health,NA,Health,active,Okanogan,Okanogan,NA,NA,NA
Okanogan County Public Hospital District No. 3,3,Hospital,active,Okanogan,Okanogan,"Conconully, Okanogan, Omak",Mid-Valley Hospital,NA
Okanogan County Public Hospital District No. 4,4,Hospital,active,Okanogan,Okanogan,"Oroville, Tonasket",North Valley Hospital,NA
Okanogan Irrigation District,NA,Irrigation,active,Okanogan,Okanogan,NA,NA,NA
Okanogan School District No. 105,105,School,active,Okanogan,Okanogan,"Okanogan, part Omak",NA,NA
Okanogan Television Reception District No. 1,1,Television Reception,active,Okanogan,Okanogan,NA,NA,Oroville to Malott area
Okanogan Television Reception District No. 2,2,Television Reception,active,Okanogan,Okanogan,NA,Methow Valley Communications,Methow area
Okanogan Television Reception District No. 3,3,Television Reception,active,Okanogan,Okanogan,NA,NA,Brewster area
Okanogan Valley Fire Protection District No. 16,16,Fire Protection,active,Okanogan,Okanogan,NA,Aeneas Valley (2006),NA
Okanogan Valley Fire Protection District No. 16 ,16,Fire Protection,active,Okanogan,Okanogan,NA,Aeneas Valley,NA
Old Bangor Water District No.  19,NA,Water,active,Kitsap,Kitsap,NA,NA,NA
Olympia Public Facilities District,NA,Public Facilities,active,Thurston,Thurston,Olympia,NA,NA
Olympia School District No. 111,111,School,active,Thurston,Thurston,"Part Olympia, part Tumwater",NA,NA
Olympia Transportation Benefit District (2008),NA,Transportation,active,Thurston,Thurston,Olympia,NA,NA
Olympic Region Clean Air Agency,NA,Clear Air,active,Thurston,Thurston,NA,NA,NA
Olympic View Water and Sewer District (1937),NA,Water/Sewer,active,Snohomish,Snohomish,NA,NA,"The district serves the Town of Woodway, part of the City of Edmonds, and the neighboring unincorporated portions of Snohomish County"
Olympus Terrace Sewer District (1969),NA,Sewer,merged,Snohomish,Snohomish,NA,NA,Merged with Mukilteo Water District November 2007 election
Omak School District No. 19,19,School,active,Okanogan,Okanogan,"Conconully, part Omak, Riverside",NA,NA
Onalaska School District No. 300,300,School,active,Lewis,Lewis,NA,NA,NA
Onion Creek School District No. 30,30,School,active,Stevens,Stevens,NA,NA,NA
Orcas Island Cemetery District No. 3,3,Cemetery,active,San Juan,San Juan,NA,NA,NA
Orcas Island Library District,NA,Library,active,San Juan,San Juan,NA,NA,NA
Orcas Island Park and Recreation District (2009),NA,Parks,active,San Juan,San Juan,NA,NA,NA
Orcas Island School District No. 137,137,School,active,San Juan,San Juan,NA,NA,NA
Orchard Avenue Irrigation District No. 6,6,Irrigation,active,Spokane,Spokane,NA,NA,NA
Orchard Irrigation District No. 10,10,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Orchard Park and Recreation District,NA,Parks,disposition unknown,Clark,Clark,NA,NA,NA
Orchard Prairie School District No. 123,123,School,active,Spokane,Spokane,NA,NA,NA
Orient School District No. 65,65,School,active,Ferry,Ferry,NA,NA,NA
Orondo School District No. 13,13,School,active,Douglas,Douglas,NA,NA,NA
Oroville-Tonasket Irrigation District,NA,Irrigation,active,Okanogan,Okanogan,NA,NA,NA
Oroville Housing Authority,NA,Housing Authority,active,Okanogan,Okanogan,NA,NA,NA
Oroville Rural Emergency Medical Services District,NA,Emergency Medical Services,active,Okanogan,Okanogan,Oroville included at formation,NA,NA
Oroville School District No. 410,410,School,active,Okanogan,Okanogan,Oroville,NA,NA
Orting School District No. 344,344,School,active,Pierce,Pierce,Orting,NA,NA
Orting Transportation Benefit District (2011),NA,Transportation,active,Pierce,Pierce,Orting,NA,NA
Othello School District No. 147,147,School,active,Adams,Adams,Othello,NA,NA
Pacific Conservation District,NA,Conservation,active,Pacific,Pacific,NA,NA,NA
Pacific County Dike District No. 1,1,Dikes,disposition unknown,Pacific,Pacific,NA,NA,NA
Pacific County Dike District No. 3,3,Dikes,active,Pacific,Pacific,NA,NA,Maintains dike on Willapa River south of South Bend
Pacific County Dike District No. 4 -Disposition unknown,4,Dikes,active,Pacific,Pacific,NA,NA,NA
Pacific County Drainage District No. 1,1,Drainage,active,Pacific,Pacific,NA,NA,NA
Pacific County Drainage District No. 3,3,Drainage,disposition unknown,Pacific,Pacific,NA,NA,NA
Pacific County Fire Protection District No. 1 (1940),1,Fire Protection,active,Pacific,Pacific,NA,NA,Unincorporated areas on Long Beach Peninsula - Formed 10/07/1940
Pacific County Fire Protection District No. 2,2,Fire Protection,active,Pacific,Pacific,NA,Chinook Valley,NA
Pacific County Fire Protection District No. 3,3,Fire Protection,active,Pacific,Pacific,NA,Willapa Valley,NA
Pacific County Fire Protection District No. 4,4,Fire Protection,active,Pacific,Pacific,NA,Anaselle,NA
Pacific County Fire Protection District No. 5,5,Fire Protection,active,Pacific,Pacific,NA,North Cove/Tokeland,NA
Pacific County Fire Protection District No. 6,6,Fire Protection,active,Pacific,Pacific,NA,Bay Center,NA
Pacific County Fire Protection District No. 7,7,Fire Protection,active,Pacific,Pacific,NA,Nemah,NA
Pacific County Fire Protection District No. 8 ,8,Fire Protection,active,Pacific,Pacific,NA,Rural South Bend,Services provided by Southbend
Pacific County Flood Control Zone District No. 1,1,Flood Control,active,Pacific,Pacific,NA,NA,Has four active subzones
Pacific County Public Hospital District  No. 3 ,3,Hospital,active,Pacific,Pacific,"Ilwaco, Long Beach",Pacific County Public Healthcare Services District No. 3,NA
Pacific County Public Hospital District No. 2,2,Hospital,active,Pacific,Pacific,"Raymond, South Bend",NA,NA
Pacific Transit System,NA,Transportation,active,Pacific,Pacific,"Ilwaco, Long Beach, Raymond, South Bend",NA,NA
Palisades Irrigation District,NA,Irrigation,active,Douglas,Douglas,NA,NA,NA
Palisades School District No. 102,102,School,active,Douglas,Douglas,NA,NA,NA
Palouse-Rock Lake Conservation District,NA,Conservation,active,Whitman,Whitman,NA,NA,NA
Palouse Conservation District,NA,Conservation,active,Whitman,Whitman,NA,NA,NA
Palouse School District No. 301,301,School,active,Whitman,Whitman,Palouse,NA,NA
Park Junction Water-Sewer District (2006),NA,Water,active,Pierce,Pierce,NA,NA,"Pierce County Ordinance 2006-71, 08/01/2006 (Formed by alternative method 57.04.140 RCW)"
Pasadena Park Irrigation District No. 17,17,Irrigation,active,Spokane,Spokane,NA,NA,NA
Pasco Public Facilities District,NA,Public Facilities,active,Franklin,Franklin,Pasco,NA,NA
Pasco School District No. 1,1,School,active,Franklin,Franklin,Pasco,NA,NA
Pateros Irrigation District,NA,Irrigation,active,Okanogan,Okanogan,NA,NA,NA
Pateros School District No. 122-70J,122,School,active,Okanogan,Okanogan,Pateros,NA,NA
Paterson School District No. 50,50,School,active,Benton,Benton,NA,NA,NA
Pe Ell School District No. 301,301,School,active,Lewis,Lewis,Pe Ell,NA,NA
Pend Oreille Co Fire District No. 1,1,Fire Protection,merged,Pend Oreille,Pend Oreille,NA,NA,"Voted to merge with Fire District No. 3, 11/2008 - South Pend Oreille Fire and Rescue"
Pend Oreille Conservation District,NA,Conservation,active,Pend Oreille,Pend Oreille,NA,NA,NA
Pend Oreille County Cemetery District No. 1,1,Cemetery,active,Pend Oreille,Pend Oreille,Ione,NA,Serves area between Spokane County Line to town of Blueslide
Pend Oreille County Cemetery District No. 2,2,Cemetery,active,Pend Oreille,Pend Oreille,Metaline and Metaline Falls,NA,NA
Pend Oreille County Cemetery District No. 3,3,Cemetery,active,Pend Oreille,Pend Oreille,Newport and  Cusick,NA,"Serves area between Blueslide and Metaline, 20 acres"
Pend Oreille County Dike District No. 2,2,Dikes,active,Pend Oreille,Pend Oreille,NA,NA,NA
Pend Oreille County Fire Protection District No. 2,2,Fire Protection,active,Pend Oreille,Pend Oreille,NA,NA,NA
Pend Oreille County Fire Protection District No. 4,4,Fire Protection,active,Pend Oreille,Pend Oreille,NA,NA,NA
Pend Oreille County Fire Protection District No. 5,5,Fire Protection,active,Pend Oreille,Pend Oreille,NA,NA,NA
Pend Oreille County Fire Protection District No. 6,6,Fire Protection,active,Pend Oreille,Pend Oreille,NA,NA,NA
Pend Oreille County Fire Protection District No. 7 ,7,Fire Protection,merged,Pend Oreille,Pend Oreille,NA,NA,NA
Pend Oreille County Fire Protection District No. 8,8,Fire Protection,active,Pend Oreille,Pend Oreille,NA,Locke-Ruby,NA
Pend Oreille County Library District,NA,Library,active,Pend Oreille,Pend Oreille,"Cusick, Ione, Metaline, Metaline Falls, Newport,",NA,NA
"Pend Oreille County Public Hospital District No. 1 dba Newport Community Hospital, Newport Community Hospital Long Term Care",1,Hospital,active,Pend Oreille,Pend Oreille,"Newport, Cusick",NA,NA
Pend Oreille County Public Hospital District No. 2,2,Hospital,active,Pend Oreille,Pend Oreille,"Ione, Metaline, Metaline Falls",NA,Family Health Center Newport and Family Medicine Newport - Mt. Linton
Peninsula Metropolitan Park District (2004),NA,Parks,active,Pierce,Pierce,NA,NA,NA
Peninsula School District No. 401,401,School,active,Pierce,Pierce,Gig Harbor,NA,NA
Penn Cove Water and Sewer District,NA,Water/Sewer,active,Island,Island,NA,NA,The Pen Cove Park Water District merged into the Penn Cove Park Sewer District after voters approved the merger in November 2000.
Peshastin Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Peshastin Water District (1999),NA,Water,active,Chelan,Chelan,NA,NA,Formed in November 1999 (election) to take over water operations previously provided by the Peshastin Community Water Association.
Pierce Conservation District,NA,Conservation,active,Pierce,Pierce,NA,NA,NA
Pierce County Drainage District No. 10,10,Drainage,active,Pierce,Pierce,NA,NA,NA
Pierce County Drainage District No. 11,11,Drainage,dissolved,Pierce,Pierce,NA,NA,"Dissolved by Pierce County Ordinance No. 2004-62, 10/2004"
Pierce County Drainage District No. 14,14,Drainage,active,Pierce,Pierce,NA,NA,NA
Pierce County Drainage District No. 19,19,Drainage,active,Pierce,Pierce,NA,NA,NA
Pierce County Drainage District No. 21,21,Drainage,active,Pierce,Pierce,NA,NA,NA
Pierce County Drainage District No. 23,23,Drainage,active,Pierce,Pierce,NA,NA,NA
Pierce County Drainage District No. 24,24,Drainage,active,Pierce,Pierce,NA,NA,NA
Pierce County Drainage District No. 25,25,Drainage,active,Pierce,Pierce,NA,NA,NA
Pierce County Drainage District No. 26,26,Drainage,active,Pierce,Pierce,NA,NA,NA
Pierce County Fire Protection District No. 1,1,Fire Protection,active,Pierce,Pierce,NA,Sumner,NA
Pierce County Fire Protection District No. 10,10,Fire Protection,active,Pierce,Pierce,Fife,NA,NA
Pierce County Fire Protection District No. 11,11,Fire Protection,merged,Pierce,Pierce,NA,NA,Voted to merge with Fire District No. 6 August 2009
Pierce County Fire Protection District No. 12,12,Fire Protection,active,Pierce,Pierce,NA,Buckley,"Voted to merge with Pierce Co, Fire District 20, 05/16/2006 - Formed FD No. 22"
Pierce County Fire Protection District No. 13,13,Fire Protection,active,Pierce,Pierce,NA,Brown's Pt./Dash Pt.,NA
Pierce County Fire Protection District No. 14 Riverside Fire and Rescue,14,Fire Protection,active,Pierce,Pierce,NA,NA,NA
Pierce County Fire Protection District No. 15 ,15,Fire Protection,active,Pierce,Pierce,NA,South Pierce Fire and Rescue,Effective 01-09 merged into Pierce 17 - South Pierce Fire and Rescue
Pierce County Fire Protection District No. 16,16,Fire Protection,active,Pierce,Pierce,NA,Key Peninsula,NA
Pierce County Fire Protection District No. 17,17,Fire Protection,active,Pierce,Pierce,Roy,South Pierce Fire and Rescue,Roy Annexed. Effective 01/2009 Pierce 15 merged with Pierce 17
Pierce County Fire Protection District No. 18,18,Fire Protection,active,Pierce,Pierce,Orting  (4/10),Orting Valley Fire & Rescue,NA
Pierce County Fire Protection District No. 2,2,Fire Protection,merged,Pierce,Pierce,NA,NA,Merger election  2/2011
Pierce County Fire Protection District No. 20,20,Fire Protection,active,Pierce,Pierce,NA,South Prairie,Fire District No. 12 voted to merge with No. 20 on 05/16/20/2006 and formed FD No. 22
Pierce County Fire Protection District No. 21,21,Fire Protection,active,Pierce,Pierce,NA,Graham Fire and Rescue,NA
Pierce County Fire Protection District No. 22,22,Fire Protection,active,Pierce,Pierce,"Bonney Lake, Edgewood,  Sumner",East Pierce Fire & Rescue,"Merger of FD's No. 12 and No. 20; Fire District No. 1 voted to merge with Fire District No. 22, 04/22/2008, Fire District No. 24 merged in 1999. Fire District 8 voted to merge with 22, 02/2010"
Pierce County Fire Protection District No. 23,23,Fire Protection,active,Pierce,Pierce,NA,Pierce 23 Fire and Rescue,NA
Pierce County Fire Protection District No. 24,24,Fire Protection,merged,Pierce,Pierce,NA,NA,"In January 2000, the Board of Commissioners officially dissolved District"
Pierce County Fire Protection District No. 25,25,Fire Protection,active,Pierce,Pierce,NA,Crystal Mountain,NA
Pierce County Fire Protection District No. 26,26,Fire Protection,active,Pierce,Pierce,NA,Greenwater,NA
"Pierce County Fire Protection District No. 27 Anderson Island Fire-Rescue
",27,Fire Protection,active,Pierce,Pierce,NA,NA,NA
Pierce County Fire Protection District No. 5,5,Fire Protection,active,Pierce,Pierce,Gig Harbor,Gig Harbor and Medic One Gig Harbor Peninsula,NA
Pierce County Fire Protection District No. 6 Central Pierce Fire and Rescue,6,Fire Protection,active,Pierce,Pierce,Puyallup  (11/08),NA,NA
Pierce County Fire Protection District No. 8,8,Fire Protection,dissolved,Pierce,Pierce,Edgewood,NA,NA
Pierce County Flood Control Zone District (2012),NA,Flood Control,active,Pierce,Pierce,County-Wide,NA,NA
Pierce County Housing Authority,NA,Housing Authority,active,Pierce,Pierce,NA,NA,NA
Pierce County Public Transportation Benefit Area Authority,NA,Transportation,active,Pierce,Pierce,"Auburn (Pierce),  Eatonville, Edgewood, Fife, Fircrest, Gig Harbor, Lakewood, Milton (Pierce),  Pacific (Pierce) Puyallup, Ruston, Steilacoom,  Tacoma and University Place",NA,NA
Pierce County Road and Bridge Service District No. 1 (Road and Bridge Service District),1,NA,active,Pierce,Pierce,NA,NA,NA
Pierce County Rural Library District,NA,Library,active,Pierce,Pierce,"Bonney Lake, Buckley, DuPont, Eatonville, Edgewood, Fife, Gig Harbor, Lakewood, Milton, Orting, Pacific, South Prairie, Steilacoom, Sumner, University Place, Wilkeson",NA,NA
Pine Creek Conservation District,NA,Conservation,active,Whitman,Whitman,NA,NA,NA
Pioneer School District No. 402,402,School,active,Mason,Mason,NA,NA,NA
Plymouth Water District,NA,Water,active,Benton,Benton,NA,NA,NA
Point Roberts Park and Recreation District,NA,Parks,active,Whatcom,Whatcom,NA,NA,NA
Point Roberts Park and Recreation Service Area No. 1,1,Parks,active,Whatcom,Whatcom,NA,NA,NA
Point Roberts Public Hospital District (2005),NA,Hospital,active,Whatcom,Whatcom,NA,NA,formed 02/2005 election - Assumed ownership of Aydon Wellness Clinic in May 2006
Point Roberts Transportation Benefit District (1991),NA,Transportation,active,Whatcom,Whatcom,NA,NA,NA
Point Roberts Water District No. 4,4,Water,active,Whatcom,Whatcom,NA,NA,NA
Pomeroy Conservation District,NA,Conservation,active,Garfield,Garfield,NA,NA,NA
Pomeroy School District No. 110,110,School,active,Garfield,Garfield,Pomeroy,NA,NA
Ponderay Shores Water and Sewer District,NA,Water/Sewer,active,Pend Oreille,Pend Oreille,NA,NA,NA
Port Angeles School District No. 121,121,School,active,Clallam,Clallam,Port Angeles,NA,NA
Port District No. 1 of Chelan County,1,Port,active,Chelan,Chelan,"Cashmere, Chelan, Entiat, Leavenworth, Wenatchee",NA,NA
Port District No. 1 of Douglas County,1,Port,active,Douglas,Douglas,"East Wenatchee, Mansfield, Rock Island, Waterville, Coulee Dam",NA,NA
Port Ludlow Drainage District,NA,Drainage,active,Jefferson,Jefferson,NA,NA,NA
Port of Allyn,NA,Port,active,Mason,Mason,NA,NA,NA
Port of Anacortes,NA,Port,active,Skagit,Skagit,Anacortes,NA,NA
Port of Bellingham,NA,Port,active,Whatcom,Whatcom,"Bellingham, Blaine, Everson, Ferndale, Lynden, Nooksack, Sumas",NA,NA
Port of Benton,NA,Port,active,Benton,Benton,"Benton City, Prosser, Part Richland",NA,Western portion of Benton County
Port of Bremerton,NA,Port,active,Kitsap,Kitsap,"Bremerton, Port Orchard, part Poulsbo",NA,NA
Port of Brownsville (Bremerton),NA,Port,active,Kitsap,Kitsap,NA,NA,NA
Port of Camas-Washougal,NA,Port,active,Clark,Clark,"Camas, Washougal",NA,NA
Port of Centralia,NA,Port,active,Lewis,Lewis,"Centralia, part Chehalis",NA,NA
Port of Chehalis,NA,Port,active,Lewis,Lewis,"Napavine, part Chehalis",NA,NA
Port of Chinook,NA,Port,active,Pacific,Pacific,NA,NA,Unincorporated area of Chinook - marina for commercial vessels and sport vessels
Port of Clarkston,NA,Port,active,Asotin,Asotin,Asotin and Clarkston,NA,NA
Port of Columbia County,NA,Port,active,Columbia,Columbia,"Dayton, Starbuck",NA,NA
Port of Coupeville,NA,Port,active,Island,Island,Coupeville,NA,NA
Port of Dewatto,NA,Port,active,Mason,Mason,NA,NA,NA
Port of Edmonds,NA,Port,active,Snohomish,Snohomish,"Part Edmonds,  Woodway",NA,NA
Port of Eglon (Kingston),NA,Port,active,Kitsap,Kitsap,NA,NA,NA
Port of Everett,NA,Port,active,Snohomish,Snohomish,"Part Everett, part Mukilteo",NA,NA
Port of Friday Harbor,NA,Port,active,San Juan,San Juan,Friday Harbor,NA,NA
Port of Garfield County,NA,Port,active,Garfield,Garfield,Pomery,NA,NA
Port of Grandview,NA,Port,active,Yakima,Yakima,Grandview,NA,NA
Port of Grapeview,NA,Port,active,Mason,Mason,NA,NA,NA
